customer,email,purchase_amt,revenue,number_of_orders,number_of_orders2,recency_days
183,1,0,298,12,144,155
184,0,0,123,2,4,174
185,1,0,98,3,9,92
186,1,0,50,2,4,169
187,0,0,175,1,1,380
188,1,57.5,205.45,6,36,557
189,0,0,196,9,81,46
190,0,0,56,1,1,494
191,1,0,16,1,1,633
192,0,0,258.9,3,9,68
193,0,0,116.5,4,16,24
194,1,0,107,3,9,408
195,0,0,247.5,6,36,26
196,0,0,236.5,13,169,155
197,0,31.9,93.5,10,100,64
198,0,0,113,2,4,283
199,1,0,203.5,6,36,59
200,0,0,91.5,5,25,469
201,1,0,110,2,4,25
202,0,0,69.9,4,16,18
203,0,0,64,2,4,30
204,0,0,75,1,1,352
205,0,0,114,7,49,13
206,0,0,177,2,4,520
207,1,34,207.5,7,49,24
208,0,0,167,6,36,519
209,0,0,59,1,1,24
210,1,0,838.85,20,400,303
211,1,27,243,2,4,51
212,1,0,0,1,1,234
213,1,0,37,1,1,620
214,0,0,60,2,4,496
215,0,0,161.49,11,121,20
216,0,0,219,3,9,288
217,0,0,21,2,4,11
218,1,0,45,3,9,18
219,0,0,773.5,19,361,47
220,0,0,133.25,8,64,139
221,1,147,1024.5,25,625,31
222,1,0,650.7,16,256,108
223,0,0,183,5,25,657
224,0,0,355,7,49,9
225,1,0,359,9,81,30
226,0,0,24,1,1,373
227,1,0,106,3,9,265
228,0,0,42,1,1,494
229,1,56.89,303,6,36,214
230,0,0,18,1,1,485
231,0,0,202,5,25,73
232,0,0,72.5,3,9,23
233,0,0,99,2,4,29
234,1,0,59,1,1,188
235,0,0,103.95,2,4,144
236,0,0,209.9,5,25,81
237,0,0,87,3,9,632
238,0,0,473.35,28,784,20
239,0,0,806.5,17,289,152
240,1,0,29.5,1,1,391
241,0,0,99,2,4,26
242,0,0,58.5,2,4,27
243,1,0,153.95,5,25,471
244,0,0,83.9,3,9,444
245,1,0,255.5,11,121,21
246,0,69.5,123,4,16,121
247,1,0,282,7,49,322
248,1,0,73,2,4,12
249,0,54.75,0,1,1,173
250,0,0,15,1,1,39
251,0,107.45,198,2,4,112
252,0,0,193.5,10,100,121
253,0,0,68,2,4,456
254,1,0,924,22,484,13
255,0,0,48.95,2,4,321
256,1,57.95,1178.9,33,1089,84
257,1,0,192.5,6,36,2
258,1,0,476.3,23,529,16
259,1,0,24.95,1,1,473
260,0,0,189,1,1,32
261,0,0,113,4,16,400
262,0,0,15.96,5,25,298
263,0,0,454,6,36,56
264,1,0,124.85,5,25,175
265,0,0,34,1,1,3
266,1,49,701.1,27,729,25
267,1,0,101.75,5,25,478
268,0,0,0,1,1,134
269,1,0,103.95,3,9,353
270,0,0,26.5,1,1,442
271,1,0,199,1,1,379
272,0,0,99,1,1,71
273,0,0,49,1,1,387
274,0,0,44,1,1,101
275,0,0,91,2,4,72
276,0,0,100,1,1,657
277,0,0,58,2,4,561
278,1,0,121,2,4,41
279,0,0,49,1,1,73
280,0,0,98,2,4,385
281,0,0,154,3,9,397
282,0,31.5,229.45,8,64,57
283,0,0,78.5,2,4,26
284,1,0,59,1,1,406
285,0,0,159,4,16,87
286,1,0,439,5,25,449
287,0,0,31,1,1,22
288,0,0,363.4,11,121,106
289,0,0,189.9,7,49,3
290,1,0,1216.9,24,576,3
291,0,0,264.15,14,196,11
292,0,0,59,1,1,30
293,1,57,208,10,100,32
294,0,0,128,3,9,387
295,0,0,58.5,3,9,228
296,1,0,27,1,1,388
297,0,0,64,1,1,7
298,0,0,128.2,4,16,480
299,0,88,84,4,16,116
300,0,0,50,2,4,152
301,0,0,29,1,1,53
302,1,0,296,7,49,473
303,1,0,116,3,9,32
304,1,0,462,12,144,39
305,0,0,101.95,2,4,487
306,1,0,144.5,5,25,68
307,1,193,567.9,23,529,29
308,1,0,76,2,4,39
309,0,36,702.1,13,169,29
310,0,0,118,2,4,23
311,0,69.95,49.5,1,1,21
312,1,0,24,1,1,519
313,1,0,929.75,26,676,8
314,0,0,59,2,4,86
315,0,0,335.95,5,25,13
316,0,0,82.5,3,9,293
317,1,0,151.95,4,16,106
318,1,0,263,9,81,53
319,0,34,165,6,36,88
320,0,0,49,1,1,636
321,1,0,93,3,9,29
322,0,0,32,3,9,16
323,0,127,68,2,4,415
324,0,0,69,1,1,381
325,0,0,28.75,2,4,140
326,0,0,159,4,16,23
327,0,0,88.5,3,9,23
328,0,59,59,1,1,342
329,0,0,66.5,3,9,40
330,0,0,29,1,1,424
331,0,85.95,99.9,2,4,82
332,1,0,55.9,2,4,355
333,0,0,40.5,2,4,494
334,0,0,99,1,1,51
335,1,0,98.95,6,36,45
336,1,250.45,88.5,3,9,135
337,0,0,150,2,4,88
338,0,0,44,1,1,62
339,1,1119,1159.5,21,441,19
340,1,0,461.5,12,144,21
341,1,0,49.5,1,1,23
342,1,0,117,3,9,394
343,0,0,52,2,4,527
344,0,0,267.85,8,64,225
345,0,0,48,2,4,14
346,0,80,974.6,33,1089,1
347,1,0,287,4,16,166
348,1,0,20,2,4,235
349,1,0,49,1,1,394
350,0,0,18.25,3,9,502
351,0,0,317,8,64,48
352,0,0,217.95,4,16,636
353,0,0,15.95,1,1,360
354,0,0,89,2,4,393
355,0,0,101.45,4,16,369
356,0,0,206,6,36,27
357,0,0,360,10,100,55
358,1,0,204,10,100,423
359,0,0,108.35,6,36,1
360,1,0,211,5,25,14
361,1,0,34,1,1,352
362,0,0,48,1,1,383
363,1,0,598,2,4,624
364,0,0,69,1,1,335
365,0,0,164.5,3,9,419
366,1,0,100,2,4,306
367,1,0,137,3,9,339
368,0,0,147,1,1,605
369,1,99,93.9,4,16,418
370,1,0,118,2,4,379
371,0,0,231.75,10,100,477
372,1,84,290,5,25,318
373,0,0,24.95,1,1,570
374,0,0,177.95,5,25,200
375,0,0,96.5,4,16,228
376,1,0,72,3,9,383
377,0,0,39.9,2,4,721
378,1,0,181.7,7,49,133
379,1,0,303,11,121,296
380,1,0,207.5,8,64,2
381,0,0,84.95,4,16,12
382,0,231.2,133,2,4,21
383,0,0,30.25,2,4,51
384,0,0,0,2,4,148
385,0,35.25,62.25,3,9,11
386,1,0,322.5,11,121,35
387,0,0,37,1,1,28
388,1,0,795.75,26,676,333
389,1,0,93,2,4,33
390,0,0,44,1,1,369
391,0,29,35,1,1,403
392,0,0,214,3,9,4
393,1,0,73.95,2,4,490
394,0,0,20,1,1,10
395,1,0,168,2,4,426
396,0,0,78,2,4,50
397,0,0,186.75,7,49,13
398,0,0,15,1,1,381
399,0,0,247,7,49,18
400,0,0,29.5,1,1,23
401,0,0,15,2,4,558
402,1,0,412.5,6,36,135
403,1,57,68,2,4,4
404,1,0,89,1,1,297
405,1,88,149,6,36,65
406,0,89,1139.15,29,841,3
407,1,0,139.95,3,9,245
408,1,0,123.5,6,36,110
409,1,17.83,530,10,100,19
410,0,0,88.5,2,4,92
411,0,0,49.9,2,4,717
412,1,0,69,1,1,76
413,1,0,440,15,225,277
414,1,0,367.45,7,49,670
415,0,0,242,8,64,31
416,0,0,98,2,4,320
417,0,0,39,2,4,141
418,0,0,243.4,8,64,21
419,0,0,265.42,15,225,11
420,0,58.5,108.9,5,25,190
421,0,0,274.45,11,121,719
422,0,0,44,1,1,13
423,1,130,716.95,18,324,22
424,1,0,170,5,25,13
425,0,0,188.35,9,81,9
426,1,0,222.5,7,49,93
427,1,0,432,8,64,31
428,0,0,48.95,2,4,489
429,0,84,78.5,2,4,102
430,0,113.35,147,6,36,260
431,0,0,83.95,4,16,19
432,0,0,35,1,1,146
433,0,0,256.7,5,25,193
434,0,0,680.1,21,441,7
435,0,98.95,539,9,81,388
436,1,0,186,7,49,41
437,0,0,433.25,17,289,32
438,1,189,130.45,5,25,98
439,0,0,99.45,2,4,23
440,0,30,30,2,4,19
441,1,170,1576.35,34,1156,4
442,0,0,29,1,1,383
443,0,0,118.95,3,9,194
444,1,0,55.5,3,9,73
445,0,0,84,2,4,231
446,0,0,557,15,225,21
447,0,0,89,1,1,107
448,0,0,114,3,9,502
449,1,57,312.95,8,64,146
450,0,0,92,5,25,53
451,1,0,253.75,6,36,167
452,1,0,158.5,5,25,33
453,0,0,60,4,16,98
454,1,0,34.5,1,1,673
455,0,0,68,2,4,420
456,0,0,89,1,1,418
457,0,0,49.5,1,1,400
458,1,0,51.5,3,9,347
459,0,0,19.95,1,1,580
460,0,0,79,1,1,13
461,0,0,234.05,8,64,170
462,0,0,128,2,4,29
463,0,0,105,5,25,196
464,1,0,194.75,9,81,30
465,0,0,108.5,2,4,391
466,0,0,49.5,1,1,19
467,0,0,68,1,1,350
468,1,0,68,2,4,694
469,1,0,69,1,1,523
470,0,0,84.5,3,9,10
471,0,0,75,1,1,664
472,0,0,143.5,4,16,270
473,0,171.5,98,2,4,104
474,0,0,59,1,1,17
475,1,0,101.95,3,9,106
476,0,0,109,1,1,271
477,1,0,69,1,1,170
478,0,115,120,5,25,8
479,0,0,116,4,16,17
480,0,0,69.5,2,4,502
481,0,0,104,4,16,19
482,0,0,55,1,1,20
483,0,0,0,1,1,200
484,1,0,390,6,36,86
485,0,0,211,8,64,29
486,0,0,261,5,25,22
487,0,180.65,247.9,19,361,373
488,0,0,116.9,4,16,173
489,0,0,476,14,196,80
490,1,0,170.5,5,25,207
491,0,0,202.45,8,64,13
492,1,0,29,1,1,396
493,1,0,58,2,4,35
494,0,0,39,1,1,162
495,0,0,177,4,16,456
496,0,0,263,7,49,92
497,0,0,531.35,13,169,58
498,0,0,202.25,11,121,23
499,0,59,67.5,2,4,42
500,0,0,53,2,4,465
501,1,29.5,692.25,18,324,83
502,1,90,1568.99,39,1521,12
503,0,0,129,1,1,342
504,1,0,243.5,14,196,19
505,0,0,49.5,1,1,13
506,0,0,99,1,1,32
507,1,0,80,3,9,689
508,0,0,445,14,196,314
509,1,0,35,1,1,526
510,0,0,339.75,16,256,14
511,1,0,238,2,4,22
512,1,69,642.4,17,289,70
513,0,0,0,2,4,8
514,0,0,26.95,1,1,369
515,1,0,301.5,6,36,263
516,0,0,143.5,4,16,498
517,0,0,42,2,4,100
518,0,0,488,11,121,151
519,0,0,208,8,64,16
520,0,0,53.5,2,4,418
521,0,0,39,2,4,291
522,1,299,204.5,6,36,26
523,0,0,68,2,4,8
524,1,424.3,949.25,24,576,90
525,0,0,99,1,1,298
526,0,31.5,65.5,2,4,456
527,0,0,44,1,1,124
528,0,0,69,1,1,518
529,0,0,36.5,1,1,19
530,0,0,112,5,25,395
531,1,0,1129.5,38,1444,13
532,0,0,316.95,8,64,485
533,0,0,73,3,9,53
534,1,0,170,6,36,12
535,0,0,246.8,9,81,169
536,0,0,49,1,1,447
537,1,0,73,2,4,72
538,0,0,159,1,1,411
539,0,0,118,2,4,12
540,0,0,70,1,1,436
541,1,0,171,5,25,83
542,1,0,103,3,9,67
543,1,0,281,8,64,88
544,1,0,39,1,1,218
545,1,0,32,2,4,26
546,0,0,78,2,4,463
547,0,0,398,3,9,388
548,0,0,0,2,4,8
549,0,0,83.5,4,16,30
550,0,0,58,2,4,26
551,0,180,413.9,13,169,12
552,0,39.5,207,6,36,56
553,0,0,137,3,9,446
554,0,0,49.5,1,1,387
555,1,29,169,4,16,46
556,1,0,1095.25,29,841,27
557,1,0,117,4,16,14
558,0,0,89,2,4,32
559,0,78,290.5,6,36,15
560,0,0,121,3,9,209
561,0,0,141,5,25,271
562,0,0,585,12,144,31
563,0,0,49.5,1,1,8
564,1,0,1162.3,32,1024,14
565,0,59,307.95,8,64,37
566,1,0,39,1,1,498
567,1,175.5,1135,30,900,85
568,0,0,44,1,1,395
569,1,0,59,2,4,331
570,0,0,47,2,4,264
571,0,0,598.5,11,121,29
572,1,0,35,1,1,299
573,0,0,210.2,3,9,104
574,0,0,0,1,1,372
575,0,0,4.99,2,4,92
576,0,0,137.45,4,16,15
577,0,179,100,2,4,334
578,1,115,344.9,12,144,45
579,1,0,98,2,4,270
580,1,0,44,2,4,51
581,0,0,29,1,1,382
582,0,0,89,1,1,384
583,0,0,108.5,5,25,68
584,1,547.9,308.9,11,121,77
585,0,0,168,7,49,16
586,0,0,69.5,2,4,13
587,1,0,155.7,8,64,12
588,0,0,29,1,1,412
589,0,0,164,4,16,24
590,1,0,185,7,49,27
591,1,0,559,18,324,120
592,1,0,108.5,2,4,380
593,0,94,237,8,64,145
594,0,0,0,2,4,15
595,0,0,307,11,121,11
596,0,0,88.5,2,4,574
597,1,104.45,448.4,10,100,384
598,1,0,78,1,1,728
599,1,73,380.5,10,100,82
600,0,0,73,3,9,60
601,0,0,98,2,4,483
602,0,0,118,1,1,678
603,1,29.5,1369.7,32,1024,22
604,1,44.75,506.9,16,256,210
605,1,0,25.5,2,4,417
606,1,0,256,4,16,61
607,0,0,532.3,22,484,154
608,0,0,0,1,1,383
609,0,0,138,6,36,489
610,1,0,880.98,15,225,15
611,1,0,59,1,1,718
612,0,0,88,2,4,17
613,0,0,104.95,5,25,58
614,0,179.95,279.2,6,36,495
615,0,0,120,3,9,526
616,0,0,36,1,1,61
617,0,269.2,101.25,4,16,106
618,0,0,29.5,1,1,285
619,0,0,43.5,2,4,674
620,0,0,163.25,6,36,67
621,1,0,204.95,6,36,27
622,0,0,378.75,21,441,109
623,0,0,138,2,4,137
624,1,0,1822.95,60,3600,2
625,1,0,217.9,6,36,173
626,0,0,90.5,5,25,13
627,0,0,39.95,1,1,720
628,1,0,73,2,4,64
629,1,0,360.5,10,100,16
630,0,0,60,1,1,88
631,1,23,150.95,5,25,473
632,0,0,224,7,49,22
633,0,0,58,2,4,24
634,1,0,674.5,17,289,93
635,0,0,29,1,1,68
636,1,68.5,625,11,121,101
637,0,0,351,5,25,17
638,0,0,29,1,1,390
639,0,108,219,8,64,413
640,0,0,39.9,2,4,701
641,1,71,135,4,16,268
642,1,0,289.9,8,64,30
643,1,0,178,6,36,27
644,1,0,409.25,14,196,22
645,1,0,140,4,16,200
646,0,0,79.5,3,9,15
647,1,0,76,3,9,410
648,0,0,66,4,16,29
649,0,0,36,1,1,390
650,0,0,19,1,1,719
651,0,0,117.95,3,9,425
652,0,0,764.5,18,324,26
653,1,0,79,1,1,407
654,1,0,309.7,6,36,609
655,1,260.65,44,1,1,709
656,0,0,49,1,1,163
657,0,0,377,15,225,14
658,0,0,168,7,49,22
659,0,0,69,1,1,407
660,0,0,24.95,1,1,288
661,0,0,256,4,16,373
662,0,29,233.5,8,64,288
663,0,0,204,5,25,418
664,0,0,59,1,1,457
665,0,0,200,7,49,25
666,1,0,98,4,16,618
667,1,0,386.5,9,81,8
668,1,0,325.95,9,81,216
669,1,0,152.5,4,16,11
670,0,63.95,39,1,1,13
671,0,0,49,1,1,366
672,0,0,90,2,4,256
673,0,0,267.75,8,64,141
674,1,0,232,8,64,377
675,0,0,180,5,25,21
676,0,0,49,1,1,30
677,0,0,59,1,1,384
678,0,0,279.5,7,49,80
679,1,0,344,6,36,21
680,1,0,138,2,4,47
681,0,0,33,2,4,204
682,0,0,386,7,49,2
683,0,0,180.5,6,36,391
684,0,0,0,2,4,493
685,0,0,111,2,4,8
686,0,0,175.95,3,9,171
687,1,0,59,2,4,104
688,1,0,191.5,8,64,95
689,0,0,89,1,1,501
690,0,0,42,1,1,644
691,1,0,95.5,3,9,26
692,1,69,56,2,4,274
693,0,0,148,6,36,10
694,0,0,331.95,6,36,2
695,0,16.95,50,2,4,51
696,0,0,55.95,2,4,72
697,1,0,152,5,25,209
698,0,0,22.93,3,9,49
699,0,0,16.5,1,1,27
700,0,0,19,1,1,414
701,0,0,97.5,3,9,390
702,1,17,99.95,1,1,359
703,1,0,186,10,100,18
704,0,0,139,1,1,109
705,1,34.5,59,1,1,17
706,0,0,49,1,1,333
707,0,0,29,1,1,55
708,0,0,108.5,3,9,120
709,0,0,510.9,15,225,38
710,1,0,95.45,4,16,135
711,1,140.4,734.5,24,576,70
712,1,0,197,5,25,54
713,1,0,137,3,9,392
714,1,0,253,6,36,399
715,0,0,0,1,1,211
716,0,0,140.5,5,25,9
717,0,0,46,2,4,337
718,1,0,297,3,9,108
719,0,0,69,1,1,17
720,0,0,65,1,1,333
721,0,0,94,3,9,724
722,1,0,140.5,3,9,142
723,0,0,19.5,1,1,23
724,0,0,70,1,1,382
725,0,0,69,1,1,590
726,0,0,118,2,4,485
727,0,87.8,466.5,11,121,25
728,1,0,191.25,5,25,22
729,0,0,0,1,1,457
730,1,0,88,1,1,332
731,1,0,59,1,1,101
732,1,0,120,8,64,60
733,1,0,1119,11,121,314
734,0,153.5,0,1,1,145
735,0,0,44,1,1,399
736,0,0,175,1,1,449
737,0,175,684.45,19,361,40
738,0,0,154.85,4,16,230
739,0,0,44,1,1,45
740,0,0,177.2,7,49,353
741,1,15,90.5,4,16,36
742,0,0,121.5,3,9,29
743,0,0,79,2,4,58
744,0,0,32,1,1,134
745,1,0,58.5,2,4,391
746,0,0,171.5,6,36,13
747,0,179.45,97,4,16,44
748,0,0,127.05,11,121,53
749,1,39,78,1,1,38
750,0,0,154.99,5,25,23
751,1,0,20.5,2,4,509
752,1,0,151,7,49,87
753,0,0,85,1,1,383
754,0,0,123.95,4,16,30
755,1,0,59,2,4,24
756,0,0,118.5,3,9,387
757,1,0,45,2,4,510
758,1,0,59,2,4,392
759,0,36,36,1,1,251
760,1,44,44,1,1,466
761,0,0,217.5,6,36,321
762,1,0,191,5,25,235
763,0,0,146.65,8,64,391
764,0,0,259,7,49,27
765,0,0,203,7,49,8
766,1,0,147.45,6,36,95
767,0,0,514.75,14,196,30
768,0,0,153,3,9,459
769,0,0,147,3,9,28
770,1,0,10,1,1,518
771,1,0,33.9,2,4,686
772,0,0,128,3,9,125
773,0,0,139,1,1,27
774,0,14.5,175.75,6,36,379
775,1,0,98.5,2,4,36
776,0,0,27,2,4,721
777,0,0,197.95,5,25,3
778,0,0,192,4,16,251
779,0,0,207.5,5,25,13
780,1,0,26.95,1,1,491
781,1,0,1808.4,29,841,5
782,0,0,54,1,1,437
783,1,0,103,4,16,28
784,0,0,89,1,1,298
785,0,0,204,4,16,3
786,0,0,876.9,25,625,43
787,0,0,43.5,2,4,256
788,0,0,49.5,2,4,402
789,0,0,59.5,1,1,449
790,1,0,220.5,5,25,106
791,0,0,29,1,1,25
792,1,0,74.85,3,9,400
793,1,0,149,4,16,400
794,1,0,96,3,9,314
795,1,0,647.4,15,225,46
796,0,0,143.25,5,25,53
797,0,0,75.5,2,4,115
798,0,58,689.6,13,169,18
799,0,168,191.75,9,81,88
800,1,0,271,2,4,14
801,0,0,264,7,49,303
802,0,19.5,154,2,4,27
803,1,0,457.5,10,100,81
804,0,0,78.9,6,36,156
805,0,0,115,4,16,114
806,0,29,26,2,4,11
807,1,0,133.95,3,9,16
808,1,0,153,5,25,379
809,0,0,19,1,1,44
810,0,0,78,2,4,391
811,0,0,116,4,16,410
812,1,0,300,2,4,75
813,0,0,39,1,1,145
814,1,0,335,6,36,10
815,1,0,748.5,28,784,458
816,1,0,311,8,64,340
817,0,0,64,1,1,233
818,0,0,94,3,9,20
819,0,0,55.45,2,4,29
820,1,0,244.7,15,225,14
821,1,0,127,3,9,390
822,1,0,211,5,25,384
823,0,0,123,3,9,27
824,0,0,68.5,2,4,385
825,0,0,138,2,4,32
826,0,81,297,7,49,51
827,0,0,325.5,10,100,36
828,1,0,189,1,1,364
829,0,0,114,6,36,12
830,0,0,109.9,2,4,311
831,0,0,270.75,11,121,11
832,0,0,74.85,3,9,706
833,0,0,34,1,1,621
834,1,0,643.4,20,400,28
835,1,0,88,4,16,61
836,0,0,103.9,4,16,189
837,1,98.95,324.4,9,81,53
838,0,0,216.5,9,81,14
839,0,92.5,207.04,9,81,109
840,1,0,290.2,13,169,21
841,1,0,936.45,19,361,81
842,0,0,30,2,4,19
843,1,0,69,1,1,303
844,1,0,238.85,8,64,189
845,0,0,451.95,10,100,163
846,0,0,33.99,2,4,26
847,1,0,94.5,3,9,9
848,0,0,101,3,9,405
849,1,0,105.95,2,4,179
850,1,147.4,684.35,27,729,19
851,0,0,119,4,16,22
852,0,0,24,1,1,391
853,0,0,115,5,25,15
854,0,0,210,6,36,28
855,0,0,74,1,1,581
856,0,0,246.9,11,121,4
857,0,0,83.5,2,4,103
858,0,0,29,1,1,319
859,1,0,45,1,1,191
860,1,0,241.95,7,49,114
861,1,0,469.45,11,121,20
862,1,0,122,4,16,37
863,0,0,59,1,1,679
864,0,0,99.95,1,1,453
865,0,0,129,1,1,5
866,0,0,155,5,25,98
867,1,0,105,1,1,53
868,0,0,29,1,1,482
869,0,0,129,3,9,77
870,1,0,919.75,29,841,46
871,1,0,368.5,2,4,380
872,1,0,152,3,9,402
873,1,0,314.95,9,81,16
874,0,0,69,1,1,31
875,0,0,711.95,13,169,13
876,0,0,26,1,1,43
877,0,0,156,3,9,386
878,1,0,96,2,4,401
879,1,0,253,6,36,10
880,0,0,87,4,16,110
881,0,201,303.5,11,121,221
882,0,0,103.95,2,4,388
883,0,225.9,608,20,400,14
884,1,0,70,2,4,68
885,0,0,76.75,6,36,18
886,1,0,1147,3,9,444
887,1,0,305,7,49,15
888,0,0,379,1,1,473
889,1,0,44,1,1,289
890,0,0,210,4,16,9
891,1,0,294,8,64,391
892,0,0,118,5,25,28
893,0,0,389.25,9,81,88
894,1,0,258,8,64,25
895,1,0,260.5,5,25,223
896,1,45,46,1,1,396
897,0,0,215,6,36,21
898,1,187.95,89,1,1,679
899,0,0,116,4,16,392
900,1,0,157.45,11,121,166
901,0,0,138,1,1,440
902,0,0,373,13,169,32
903,0,0,34.5,1,1,1
904,0,0,172.9,5,25,433
905,1,0,79.8,4,16,715
906,0,0,266.5,8,64,122
907,0,0,98,5,25,154
908,1,0,148,2,4,44
909,1,56,182.5,7,49,117
910,0,0,39.5,1,1,643
911,1,0,95.4,4,16,16
912,0,0,102,3,9,19
913,0,0,39,1,1,64
914,0,0,158,2,4,15
915,0,0,304,5,25,410
916,1,79,961.85,31,961,46
917,0,0,116.5,3,9,19
918,0,0,39.5,2,4,497
919,0,0,88.5,2,4,19
920,0,0,24.5,1,1,19
921,0,0,113,3,9,16
922,1,0,29.5,1,1,28
923,0,58,319.8,11,121,126
924,0,0,58,2,4,385
925,0,0,122.97,7,49,109
926,1,0,310.5,5,25,310
927,1,0,100,4,16,297
