"customer","purchase_amt","email","revenue","number_of_orders","number_of_orders2","recency_days","distance","weights","subclass","pred_purchase_amt"
87,0,1,334.5,7,49,288,0.420696165277482,1,"8484",19.1628131422763
88,0,1,208,6,36,83,0.370280566891162,1,"8535",21.2992011254369
89,0,0,296.75,9,81,191,0.419218898260902,1,"4818",19.3847864341353
90,0,1,74.9,2,4,416,0.282922001106642,1,"8618",10.6005757245982
92,0,1,271.95,4,16,15,0.386930122783886,1,"8692",21.3679464733946
94,0,0,145,4,16,22,0.335491442575881,1,"6624",16.4460710112661
95,0,1,32,2,4,521,0.264526313920075,1,"8827",9.02874336900195
96,0,0,189.5,6,36,31,0.364776278235277,1,"1806",18.6396219294736
97,0,1,308,6,36,387,0.399669988804549,1,"8892",15.9604043178182
98,0,1,54.95,1,1,591,0.263981958192474,1,"8927",7.83962591803711
100,0,1,64,3,9,161,0.293861562589753,1,"1",15.2429103601366
101,0,1,69,1,1,272,0.279376072276499,1,"38",11.8790742736619
102,69,1,195,5,25,19,0.361568692929858,1,"89",21.5233007320842
104,0,1,373,7,49,404,0.432431863406543,1,"176",17.1612277506436
105,0,1,520.8,17,289,28,0.552441245144917,1,"217",43.831984420913
107,0,0,578.5,21,441,27,0.583155875382221,1,"2209",45.4657484415036
109,0,0,69.85,3,9,537,0.283082197112737,1,"3011",7.81329842129454
112,0,0,65.5,2,4,392,0.280405848185818,1,"3354",8.8317709746621
115,0,0,59,2,4,14,0.290958973406089,1,"583",14.0772184713875
116,0,0,271.15,14,196,30,0.435442283595947,1,"5595",29.0845959721813
118,0,1,211,2,4,254,0.339634497379175,1,"711",14.0316294828888
120,0,0,49,1,1,664,0.259616152855301,1,"4047",5.67781843207704
121,0,1,59.95,1,1,657,0.263541190296547,1,"809",7.20498053208999
122,0,0,39.5,1,1,392,0.265186224601175,1,"4245",8.1430720185268
123,43,1,465,10,100,540,0.482452912424049,1,"901",18.175257803661
124,0,0,174.75,5,25,726,0.326957540155676,1,"5089",7.40783811328512
128,0,1,108,3,9,252,0.306840972630731,1,"1125",14.040107316231
129,94,1,428.95,8,64,128,0.473673930659855,1,"1164",25.2794564920509
130,143,1,59,1,1,104,0.281504551336449,1,"1210",14.4685044379929
131,0,1,89,1,1,318,0.284906161990505,1,"1244",11.3598352356689
132,0,0,177,3,9,387,0.328103948480214,1,"5341",10.15360399005
133,0,1,69,1,1,509,0.271482613225468,1,"1312",8.80606996508231
137,0,0,302.5,10,100,104,0.430042335266573,1,"2669",22.5361799518012
139,0,1,239,7,49,111,0.387599396285536,1,"1520",22.1304750608578
140,0,0,162,4,16,6,0.34275380725135,1,"5572",16.915587808075
141,0,0,427.5,8,64,17,0.477661809832792,1,"7642",23.9099712222319
142,0,1,95.5,2,4,19,0.304126646415814,1,"1606",17.2870947979228
143,41,1,281.5,9,81,13,0.419957792111016,1,"1636",27.7655391624068
144,0,0,123,4,16,218,0.319810351977386,1,"477",12.8687194657807
145,0,1,175.9,9,81,133,0.37105830729708,1,"1705",23.1459064468151
147,0,1,157.5,2,4,65,0.325862939456325,1,"1776",16.9815658291177
148,0,1,76,3,9,78,0.30114302193157,1,"1821",16.9050104400406
149,0,0,167,3,9,39,0.337113590821216,1,"2526",15.4249362362393
150,0,1,68,1,1,42,0.286811370335837,1,"1879",15.6468817602337
151,0,1,178,3,9,56,0.340788836658774,1,"1903",18.3585257696312
153,0,1,218,8,64,396,0.373062012406958,1,"1959",16.7538591614741
154,0,0,129,1,1,373,0.297450236372802,1,"7718",8.83992018141988
155,0,1,448.9,31,961,445,0.499663888563637,1,"2027",49.2388345414753
156,0,0,54.9,2,4,607,0.26955669796035,1,"3285",6.59665438750735
157,49,1,154,6,36,632,0.32803373480478,1,"2092",10.8337250337728
161,0,1,453.3,14,196,17,0.515267210342441,1,"2202",37.8479583855421
163,32,1,59,2,4,28,0.290477170213845,1,"2271",16.7591398268212
166,0,1,277,2,4,416,0.359733662236271,1,"2398",11.9934559737553
167,69,1,371,12,144,9,0.4723070316425,1,"2434",33.5576137387385
168,145.75,1,78.5,2,4,331,0.287095962700381,1,"2482",11.8088169860361
169,0,1,303.9,8,64,25,0.423862754624265,1,"2522",26.4101359513366
170,0,1,168,4,16,36,0.343991097511754,1,"2565",19.7270046533035
171,0,1,1497.25,34,1156,14,0.865756827549159,1,"2605",112.703555778015
172,0,0,44,1,1,28,0.278771609428759,1,"3972",12.9264892240623
173,0,1,29,1,1,694,0.252003845345005,1,"2678",6.71643611723035
175,0,0,40,2,4,41,0.283235169454389,1,"5833",13.4772624982464
176,0,1,36,1,1,126,0.272710899465682,1,"2799",13.905329881842
178,0,0,101.5,3,9,264,0.304004273033749,1,"6891",11.3073878148094
179,0,0,98,2,4,334,0.294023232206841,1,"7112",9.71226097338215
180,0,0,73,4,16,385,0.29526045793698,1,"7564",10.1491792471236
181,0,0,257.85,11,121,11,0.419221230120599,1,"2253",25.5552299309923
182,0,0,237.9,4,16,583,0.351012950724832,1,"8711",8.73754379500854
183,0,1,298,12,144,155,0.434641934420157,1,"3050",27.9088517973257
185,0,1,98,3,9,92,0.308803888912329,1,"3134",16.8431048553657
186,0,1,50,2,4,169,0.282449777569676,1,"3166",14.1296406959345
187,0,0,175,1,1,380,0.314281309999417,1,"3188",9.02017385172029
188,57.5,1,205.45,6,36,557,0.351014426806157,1,"3249",12.2653709029279
189,0,0,196,9,81,46,0.382723958765069,1,"6836",21.5495340575532
191,0,1,16,1,1,633,0.249644157376427,1,"3371",7.22802758319605
192,0,0,258.9,3,9,68,0.372786416976376,1,"8214",15.7201673317071
193,0,0,116.5,4,16,24,0.324397680627785,1,"6698",16.1431606959524
194,0,1,107,3,9,408,0.300963280264821,1,"3492",11.6089439443487
195,0,0,247.5,6,36,26,0.388787741862767,1,"6468",19.3565632002479
196,0,0,236.5,13,169,155,0.412144596141252,1,"2740",23.8972513954598
198,0,0,113,2,4,283,0.301287319023277,1,"1783",10.4575452190002
199,0,1,203.5,6,36,59,0.369379713283667,1,"3711",21.8142705555452
200,0,0,91.5,5,25,469,0.30476733590772,1,"7922",9.81406232557966
201,0,1,110,2,4,25,0.309306620533005,1,"3810",17.309522137754
205,0,0,114,7,49,13,0.340807947653976,1,"1503",19.249843410679
207,34,1,207.5,7,49,24,0.378012941311367,1,"4138",23.9099795143658
208,0,0,167,6,36,519,0.337267751710879,1,"2457",10.2618634221804
210,0,1,838.85,20,400,303,0.677256210495762,1,"4216",44.3056305073817
211,27,1,243,2,4,51,0.360067317029863,1,"4220",18.1061693124634
212,0,1,0,1,1,234,0.256945696420667,1,"4225",11.9387244809438
213,0,1,37,1,1,620,0.257001854089924,1,"4228",7.45638720456245
214,0,0,60,2,4,496,0.274994769765331,1,"7838",7.6801685948507
215,0,0,161.49,11,121,20,0.378477269333048,1,"122",24.0674569331737
218,0,1,45,3,9,18,0.291921708349281,1,"4247",17.7952596683773
219,0,0,773.5,19,361,47,0.660226936324759,1,"4526",45.0563572108233
220,0,0,133.25,8,64,139,0.348770857815555,1,"7165",17.8001942957538
222,0,1,650.7,16,256,108,0.60222937649649,1,"4307",41.4389810012184
223,0,0,183,5,25,657,0.332692553940223,1,"8713",8.1586803918803
224,0,0,355,7,49,9,0.440903718268534,1,"2593",22.0461167085084
225,0,1,359,9,81,30,0.4525857219185,1,"4382",28.3784350895727
227,0,1,106,3,9,265,0.305636796853776,1,"4447",13.8072438251803
229,56.89,1,303,6,36,214,0.404508946437656,1,"4510",19.3963603520157
231,0,0,202,5,25,73,0.362314908959071,1,"8828",16.9371478108898
234,0,1,59,1,1,188,0.278677692401211,1,"4691",13.0826763627033
235,0,0,103.95,2,4,144,0.302840954322749,1,"3769",12.3570204015002
236,0,0,209.9,5,25,81,0.365203876020624,1,"2501",16.8569964578092
238,0,0,473.35,28,784,20,0.534864077452025,1,"5430",56.4635281457127
239,0,0,806.5,17,289,152,0.665869423545549,1,"6942",38.1989196548782
240,0,1,29.5,1,1,391,0.261824168085893,1,"4893",9.99214594400379
243,0,1,153.95,5,25,471,0.328318428331109,1,"4986",12.4557040106205
245,0,1,255.5,11,121,21,0.417814761419364,1,"5056",29.9030760023743
247,0,1,282,7,49,322,0.397134648154588,1,"5128",17.9085800937341
248,0,1,73,2,4,12,0.296106073541633,1,"5162",17.2066338858599
249,54.75,0,0,1,1,173,0.258894260758918,1,"6283",10.5225034089822
251,107.45,0,198,2,4,112,0.339850111393759,1,"8636",13.5861532126339
252,0,0,193.5,10,100,121,0.383393881625658,1,"8427",20.8591462131842
254,0,1,924,22,484,13,0.720071555769531,1,"5363",63.7900197260711
257,0,1,192.5,6,36,2,0.367116833828831,1,"5490",23.0730212707642
258,0,1,476.3,23,529,16,0.540467798174339,1,"5533",54.7094836673369
259,0,1,24.95,1,1,473,0.257662593114877,1,"5571",8.9709087789346
260,0,0,189,1,1,32,0.332342081603251,1,"5543",14.0170402629772
261,0,0,113,4,16,400,0.30948888457666,1,"4567",10.2092729845731
262,0,0,15.96,5,25,298,0.283272705919934,1,"4125",11.6078515103057
263,0,0,454,6,36,56,0.475961400784893,1,"3868",20.9600004236131
264,0,1,124.85,5,25,175,0.327988379083837,1,"5766",17.3828615578254
267,0,1,101.75,5,25,478,0.308258905233327,1,"5886",11.967096595482
269,0,1,103.95,3,9,353,0.30177274848019,1,"5972",12.3977723290154
271,0,1,199,1,1,379,0.323434268562747,1,"6045",11.2627873998756
274,0,0,44,1,1,101,0.276328625283517,1,"300",11.8231206626011
278,0,1,121,2,4,41,0.312857651359919,1,"6082",17.1002400731583
282,31.5,0,229.45,8,64,57,0.391146049048262,1,"8666",20.5848936841327
284,0,1,59,1,1,406,0.271423181063475,1,"6109",9.98588585799759
286,0,1,439,5,25,449,0.446815016288854,1,"6116",15.1290644732549
288,0,0,363.4,11,121,106,0.460778507860093,1,"7015",24.4117613583477
289,0,0,189.9,7,49,3,0.371620723048323,1,"2717",20.2945450097622
290,0,1,1216.9,24,576,3,0.811428551951961,1,"6131",77.1817129827975
291,0,0,264.15,14,196,11,0.43321325675569,1,"145",29.5516166617578
293,57,1,208,10,100,32,0.392944531152046,1,"6141",27.5216767059555
295,0,0,58.5,3,9,228,0.28956354587258,1,"3857",11.5175625056535
296,0,1,27,1,1,388,0.261076497516577,1,"6154",10.0146083150103
299,88,0,84,4,16,116,0.308778785840312,1,"7809",14.2162559208959
300,0,0,50,2,4,152,0.283025165978675,1,"1298",11.8444405378002
301,0,0,29,1,1,53,0.272698968705082,1,"3942",12.4271605816408
302,0,1,296,7,49,473,0.396963672339632,1,"6178",15.1554497933453
303,0,1,116,3,9,32,0.317730866416678,1,"6185",18.2238992424441
304,0,1,462,12,144,39,0.51081725989954,1,"6190",34.0507832932324
306,0,1,144.5,5,25,68,0.33960172343985,1,"6201",19.834811734715
307,193,1,567.9,23,529,29,0.579391003245961,1,"6204",56.2456738498693
308,0,1,76,2,4,39,0.296260553332151,1,"6208",16.7081103822515
309,36,0,702.1,13,169,29,0.617819474486953,1,"5157",34.4252373932945
310,0,0,118,2,4,23,0.312375629237763,1,"7866",14.4167500542085
311,69.95,0,49.5,1,1,21,0.280945858395036,1,"8360",13.0793190695038
312,0,1,24,1,1,519,0.255880355145077,1,"6228",8.44592885539729
313,0,1,929.75,26,676,8,0.721313504308368,1,"6232",73.4058218462833
315,0,0,335.95,5,25,13,0.420425958022332,1,"4598",19.5399554467897
316,0,0,82.5,3,9,293,0.296009211607409,1,"3609",10.7795133770968
317,0,1,151.95,4,16,106,0.335076198883018,1,"6250",18.0686713926889
318,0,1,263,9,81,53,0.410480125249899,1,"6252",26.3794095487178
319,34,0,165,6,36,88,0.352730337532443,1,"1949",17.2295878522333
321,0,1,93,3,9,29,0.309181613363646,1,"6267",18.0526002362868
323,127,0,68,2,4,415,0.280513630359823,1,"7576",8.58575442934114
327,0,0,88.5,3,9,23,0.307716281629223,1,"5432",15.0203146286453
331,85.95,0,99.9,2,4,82,0.303530480900515,1,"917",13.2910931075143
332,0,1,55.9,2,4,355,0.278268743211048,1,"6312",11.3068878940223
333,0,0,40.5,2,4,494,0.268312642151157,1,"4238",7.60332480441003
335,0,1,98.95,6,36,45,0.328404404130733,1,"6323",20.9358053501551
336,250.45,1,88.5,3,9,135,0.303748638252683,1,"6330",15.9372924399759
340,0,1,461.5,12,144,21,0.511349401182237,1,"6344",34.6517159654291
341,0,1,49.5,1,1,23,0.280878431485816,1,"6347",15.8290223324047
342,0,1,117,3,9,394,0.305151080505043,1,"6352",11.8830040714103
344,0,0,267.85,8,64,225,0.400502735510808,1,"6570",17.4014724023824
346,80,0,974.6,33,1089,1,0.724487394926852,1,"3074",81.9982079122342
347,0,1,287,4,16,166,0.387196400584272,1,"6367",18.2007409751827
348,0,1,20,2,4,235,0.269761996463554,1,"6371",12.8210757473161
349,0,1,49,1,1,394,0.268371209810429,1,"6376",10.0759403434391
351,0,0,317,8,64,48,0.428527453736368,1,"6754",21.7987624783319
352,0,0,217.95,4,16,636,0.341114905405652,1,"2186",8.04962361624887
353,0,0,15.95,1,1,360,0.258259347456213,1,"6414",8.36366727279745
356,0,0,206,6,36,27,0.371645212075214,1,"1602",18.8962259352511
357,0,0,360,10,100,55,0.456875612861204,1,"5465",24.4911769283395
358,0,1,204,10,100,423,0.375848926065589,1,"6407",17.9422983399837
360,0,1,211,5,25,14,0.368247612436409,1,"6415",21.8288353822409
361,0,1,34,1,1,352,0.264612920070962,1,"6419",10.5259361905295
363,0,1,598,2,4,624,0.487559057401192,1,"6426",11.2727432395193
366,0,1,100,2,4,306,0.295722236547766,1,"6439",12.3358650145099
367,0,1,137,3,9,339,0.314594513794564,1,"6443",12.8629414395404
369,99,1,93.9,4,16,418,0.301761901285679,1,"6453",12.0808723458779
370,0,1,118,2,4,379,0.299757696387072,1,"6459",11.3989638318711
371,0,0,231.75,10,100,477,0.385165469926086,1,"3879",14.1636903111616
372,84,1,290,5,25,318,0.388814054061681,1,"6468",16.1862305074621
376,0,1,72,3,9,383,0.289099603549375,1,"6478",11.7211564302971
378,0,1,181.7,7,49,133,0.363244521601575,1,"6487",20.945268745441
379,0,1,303,11,121,296,0.426886606663426,1,"6493",22.9571753137398
380,0,1,207.5,8,64,2,0.384211409427963,1,"6499",25.7407980186265
381,0,0,84.95,4,16,12,0.312852794225287,1,"6082",16.0772990082591
382,231.2,0,133,2,4,21,0.318111106104094,1,"515",14.5780999423874
386,0,1,322.5,11,121,35,0.445987238692157,1,"6522",30.4847107413704
388,0,1,795.75,26,676,333,0.659791499139445,1,"6531",53.0130786577501
389,0,1,93,2,4,33,0.302708597652416,1,"6535",16.9871128285961
391,29,0,35,1,1,403,0.263299044667736,1,"4360",8.00295480415278
392,0,0,214,3,9,4,0.357062979360178,1,"1647",16.505885547143
393,0,1,73.95,2,4,490,0.280087935727402,1,"6549",9.64702310356383
395,0,1,168,2,4,426,0.316729838818564,1,"6558",11.0857757403871
399,0,0,247,7,49,18,0.394627896984022,1,"194",20.5910321546871
400,0,0,29.5,1,1,23,0.273867026924387,1,"7759",12.8931410274077
402,0,1,412.5,6,36,135,0.454624893940537,1,"6588",22.4605230614766
403,57,1,68,2,4,4,0.294563898813742,1,"6595",17.3164231570744
404,0,1,89,1,1,297,0.285620760396055,1,"6601",11.6590096573609
405,88,1,149,6,36,65,0.347237110142642,1,"6608",21.0425450851014
406,89,0,1139.15,29,841,3,0.785734408281578,1,"6977",77.2993962892354
407,0,1,139.95,3,9,245,0.319107192092174,1,"6617",14.4251077571947
408,0,1,123.5,6,36,110,0.335521041471707,1,"6624",19.7409453340758
409,17.83,1,530,10,100,19,0.532560875914383,1,"6629",32.7656779605908
412,0,1,69,1,1,76,0.286009094123671,1,"6640",15.0431092141365
413,0,1,440,15,225,277,0.501736858891237,1,"6647",30.4022451854107
414,0,1,367.45,7,49,670,0.419204859699421,1,"6650",12.4827991241104
415,0,0,242,8,64,31,0.397424771202574,1,"1390",21.3286709102498
416,0,0,98,2,4,320,0.2945084757341,1,"8823",9.88684352703605
418,0,0,243.4,8,64,21,0.39841129077359,1,"6752",21.5804169033539
419,0,0,265.42,15,225,11,0.436835385738061,1,"5971",30.9495481478889
421,0,0,274.45,11,121,719,0.397689925198724,1,"8718",11.453663831111
422,0,0,44,1,1,13,0.279275230361188,1,"7348",13.1633357474463
423,130,1,716.95,18,324,22,0.637104187370497,1,"6678",50.0532835336657
424,0,1,170,5,25,13,0.351765410368461,1,"6685",21.3751050687854
425,0,0,188.35,9,81,9,0.381023155897104,1,"5681",22.3464861311981
426,0,1,222.5,7,49,93,0.381480186695064,1,"6694",22.3701035615499
427,0,1,432,8,64,31,0.479042810110341,1,"6702",28.025682388003
428,0,0,48.95,2,4,489,0.271389140014825,1,"4025",7.69611154285969
431,0,0,83.95,4,16,19,0.312225969404006,1,"5275",15.9376065691697
432,0,0,35,1,1,146,0.271703101683084,1,"4608",11.1210088206052
434,0,0,680.1,21,441,7,0.626396541945578,1,"2036",48.4450676998916
435,98.95,0,539,9,81,388,0.516209274769843,1,"6435",17.7498913832354
436,0,1,186,7,49,41,0.368552003846078,1,"6740",23.2110762694002
437,0,0,433.25,17,289,32,0.514180691832197,1,"3272",35.9232607031185
438,189,1,130.45,5,25,98,0.332999154908323,1,"6748",19.0310675430186
439,0,0,99.45,2,4,23,0.305449138992274,1,"432",14.2611732251379
442,0,0,29,1,1,383,0.261913205451481,1,"7364",8.18414476244277
444,0,1,55.5,3,9,73,0.293824143086028,1,"6778",16.8062590070008
446,0,0,557,15,225,21,0.563239018535427,1,"2396",35.3397383553524
449,57,1,312.95,8,64,146,0.422797093272755,1,"6804",23.3312133917906
451,0,1,253.75,6,36,167,0.385797638035993,1,"6812",19.8968444755442
452,0,1,158.5,5,25,33,0.346436365474595,1,"6818",20.7792749428104
454,0,1,34.5,1,1,673,0.254485905561009,1,"6829",6.93461359398865
455,0,0,68,2,4,420,0.280345239788746,1,"2339",8.53007060709349
456,0,0,89,1,1,418,0.281518115564076,1,"987",8.12536084301231
457,0,0,49.5,1,1,400,0.268346306273891,1,"2432",8.11019767024169
458,0,1,51.5,3,9,347,0.283003990891012,1,"6844",12.1009880793347
459,0,0,19.95,1,1,580,0.252606951577411,1,"2174",6.24966493381257
460,0,0,79,1,1,13,0.291762152882622,1,"8395",13.4394424101495
461,0,0,234.05,8,64,170,0.388573834159551,1,"5209",18.1804144926963
462,0,0,128,2,4,29,0.315928461102738,1,"4717",14.3982111141464
463,0,0,105,5,25,196,0.319619289901859,1,"5868",13.8602352660809
464,0,1,194.75,9,81,30,0.382838306393455,1,"6867",26.0883783730253
465,0,0,108.5,2,4,391,0.295864094640705,1,"2364",9.08803038814862
466,0,0,49.5,1,1,19,0.281013295165399,1,"839",13.1109987113224
468,0,1,68,2,4,694,0.271212456050058,1,"6882",7.36517005155829
469,0,1,69,1,1,523,0.271020733668415,1,"6884",8.64758541400547
472,0,0,143.5,4,16,270,0.325751124249559,1,"4066",12.2276266252645
473,171.5,0,98,2,4,104,0.30205376627588,1,"5675",12.9275151573562
474,0,0,59,1,1,17,0.284450680973172,1,"7844",13.2171265383597
475,0,1,101.95,3,9,106,0.309780687141864,1,"6901",16.6101759864426
477,0,1,69,1,1,170,0.282816183758634,1,"6914",13.4495328183603
479,0,0,116,4,16,17,0.32446206007659,1,"5556",16.2703628081586
480,0,0,69.5,2,4,502,0.278118898767642,1,"8040",7.66666801528944
484,0,1,390,6,36,86,0.446906440535229,1,"6939",23.4019314820646
487,180.65,0,247.9,19,361,373,0.423253910243162,1,"8546",25.2990116796825
489,0,0,476,14,196,80,0.522554141441286,1,"2729",30.6285201537901
490,0,1,170.5,5,25,207,0.34461572603031,1,"6959",17.1933646376589
491,0,0,202.45,8,64,13,0.381690377038605,1,"5875",21.2947497588564
492,0,1,29,1,1,396,0.261493992669489,1,"6968",9.92584408514585
493,0,1,58,2,4,35,0.289876264397103,1,"6972",16.614690895525
495,0,0,177,4,16,456,0.331831342275547,1,"5064",9.89683527195899
497,0,0,531.35,13,169,58,0.544086316276747,1,"8925",30.7531131443876
498,0,0,202.25,11,121,23,0.395267405760326,1,"4789",24.5098597320099
503,0,0,129,1,1,342,0.298532562854211,1,"7433",9.20066186186304
504,0,1,243.5,14,196,19,0.424040812836341,1,"7009",34.1630339400289
505,0,0,49.5,1,1,13,0.281215664627395,1,"4140",13.2064142748638
506,0,0,99,1,1,32,0.298378741114833,1,"3553",13.2918182378617
507,0,1,80,3,9,689,0.281539291360186,1,"7020",7.97493262670002
508,0,0,445,14,196,314,0.499250409652778,1,"6647",23.6098371375021
509,0,1,35,1,1,526,0.259336482681849,1,"7027",8.42841988564115
510,0,0,339.75,16,256,14,0.471672543829705,1,"7947",33.4649582906824
511,0,1,238,2,4,22,0.359167917965495,1,"7032",18.6591538249271
514,0,0,26.95,1,1,369,0.261671810928651,1,"7656",8.32451439055152
515,0,1,301.5,6,36,263,0.401909736645542,1,"7046",18.338498916528
518,0,0,488,11,121,151,0.513301479754022,1,"4295",24.8386328047547
519,0,0,208,8,64,16,0.383865564271349,1,"5840",21.2884069909536
522,299,1,204.5,6,36,26,0.371071680140534,1,"7066",22.6251026511016
523,0,0,68,2,4,8,0.294425194998745,1,"8441",14.2532822609467
524,424.3,1,949.25,24,576,90,0.726443534620783,1,"7073",64.7995360604709
525,0,0,99,1,1,298,0.289168684420804,1,"1559",9.55220318910348
527,0,0,44,1,1,124,0.27556166541686,1,"5187",11.4919852781362
531,0,1,1129.5,38,1444,13,0.758955346253186,1,"7099",110.349718528104
532,0,0,316.95,8,64,485,0.410745721554862,1,"2316",13.1835745966936
534,0,1,170,6,36,12,0.357638297476067,1,"7108",22.5523904851724
535,0,0,246.8,9,81,169,0.398989695051156,1,"728",19.3291680843143
536,0,0,49,1,1,447,0.266637958126142,1,"627",7.62015389295588
537,0,1,73,2,4,72,0.294023179746197,1,"7112",16.0532872818158
539,0,0,118,2,4,12,0.312770105956538,1,"4768",14.6061975260445
541,0,1,171,5,25,83,0.349503601005932,1,"7129",19.7912590785503
542,0,1,103,3,9,67,0.311567935859819,1,"7136",17.3833473962939
543,0,1,281,8,64,88,0.411563633878209,1,"7141",24.4141708138255
544,0,1,39,1,1,218,0.270710831811268,1,"7144",12.4645064002012
545,0,1,32,2,4,26,0.280908506096626,1,"7149",16.5420956755127
547,0,0,398,3,9,388,0.418145971900428,1,"7529",11.6168623254734
550,0,0,58,2,4,26,0.290185562314919,1,"4785",13.8685968106304
551,180,0,413.9,13,169,12,0.494762675777366,1,"5140",30.3888537283475
552,39.5,0,207,6,36,56,0.370923687364425,1,"6566",18.2967597185436
554,0,0,49.5,1,1,387,0.268772506326004,1,"7237",8.24959007098178
555,29,1,169,4,16,46,0.344009177959926,1,"7191",19.5183225267241
556,0,1,1095.25,29,841,27,0.771819102609813,1,"7194",84.5244622010225
557,0,1,117,4,16,14,0.324955378872469,1,"7200",19.659256240121
558,0,0,89,2,4,32,0.30126899847234,1,"878",14.0227267643415
559,78,0,290.5,6,36,15,0.407245629353948,1,"1510",20.0645019940838
560,0,0,121,3,9,209,0.313240060432369,1,"8657",12.2447246792786
562,0,0,585,12,144,31,0.564574895815788,1,"7351",30.9971054405296
563,0,0,49.5,1,1,8,0.281384373599003,1,"3410",13.2863601006849
564,0,1,1162.3,32,1024,14,0.786910574130761,1,"7226",95.3086099414307
